級別,單字,屬性,中文
1,a/an,art.,一個/一個
1,ability,n.,能力
1,able,adj.,有能力的
1,about,prep./adv.,關於
1,above,prep./adv./adj.,多於
1,abroad,adv.,國外
1,across,prep./adv.,穿過
1,act,n./v.,行為
1,action,n.,行動
1,actor/actress,n.,男演員/女演員
1,add,v.,添加
1,afraid,adj.,害怕的
1,after,prep./conj./adv.,後
1,afternoon,n.,午安
1,again,adv.,再次
1,age,n./v.,年齡
1,ago,adv.,前
1,agree,v.,同意
1,air,n.,空氣
1,airplane/plane,n.,飛機/飛機
1,airport,n.,飛機場
1,all,adj./adv./pron./n.,全部
1,allow,v.,允許
1,almost,adv.,幾乎
1,along,prep./adv.,沿著
1,already,adv.,已經
1,also,adv.,也
1,although,conj.,雖然
1,always,adv.,總是
1,am/a.m.,adv.,上午/上午
1,and,conj.,和
1,angry,adj.,生氣的
1,animal,n.,動物
1,another,adj./pron.,其他
1,answer,n./v.,回答
1,ant,n.,螞蟻
1,any,pron./adj./adv.,任何
1,anybody/anyone,pron.,任何人/任何人
1,anything,pron.,任何事物
1,apartment,n.,公寓
1,appear,v.,出現
1,apple,n.,蘋果
1,area,n.,區域
1,arm,n./v.,手臂
1,around,prep./adv.,大約
1,arrive,v.,到達
1,art,n.,藝術
1,as,conj./adv./prep.,作為
1,ask,v.,問
1,at,prep.,在
1,attack,n./v.,攻擊
1,aunt,n.,阿姨
1,away,adv.,離開
1,baby,n.,嬰兒
1,back,adv./n./v./adj.,後退
1,bad,adj.,壞的
1,bag,n.,包包
1,ball,n./v.,球
1,banana,n.,香蕉
1,band,n.,樂團
1,bank,n./v.,銀行
1,baseball,n.,棒球
1,basket,n.,籃子
1,basketball,n.,籃球
1,bat,n./v.,蝙蝠
1,bath,n.,洗澡
1,bathroom,n.,浴室
1,be,v./aux.,是
1,beach,n./v.,海灘
1,bean,n.,豆
1,bear,v./n.,熊
1,beautiful,adj.,美麗的
1,because,conj.,因為
1,become,v.,變得
1,bed,n.,床
1,bedroom,n.,臥室
1,bee,n.,蜜蜂
1,beef,n.,牛肉
1,before,prep./conj./adv.,前
1,begin,v.,開始
1,behind,prep./adv.,在後面
1,believe,v.,相信
1,bell,n.,鐘
1,belong,v.,屬於
1,below,adv./prep.,以下
1,belt,n./v.,腰帶
1,bench,n.,長椅
1,beside,prep.,旁
1,best,adj./adv./v./n.,最好的
1,between,prep./adv.,之間
1,bicycle/bike,n.,自行車/自行車
1,big,adj.,大的
1,bird,n.,鳥
1,bite,n./v.,咬
1,black,adj./n.,黑色的
1,blind,adj./v.,瞎的
1,block,n./v.,堵塞
1,blow,v.,吹
1,blue,adj./n.,藍色的
1,boat,n.,船
1,body,n.,身體
1,book,n./v.,書
1,bored,adj.,無聊的
1,boring,adj.,無聊的
1,born,adj.,出生
1,borrow,v.,借
1,boss,n./v.,老闆
1,both,pron./adv./adj.,兩個都
1,bottle,n./v.,瓶子
1,bottom,n./adj./v.,底部
1,bow,n./v.,弓
1,bowl,n.,碗
1,box,n./v.,盒子
1,boy,n.,男生
1,brave,adj.,勇敢的
1,bread,n.,麵包
1,break,n./v.,休息
1,breakfast,n./v.,早餐
1,bridge,n./v.,橋
1,bright,adj./adv.,明亮的
1,bring,v.,帶來
1,brother,n.,兄弟
1,brown,adj./v./n.,棕色的
1,bug,n./v.,漏洞
1,build,v.,建造
1,bus,n.,公車
1,business,n.,商業
1,busy,adj.,忙碌的
1,but,conj./prep./adv.,但
1,butter,n./v.,奶油
1,butterfly,n.,蝴蝶
1,button,n./v.,按鈕
1,buy,v./n.,買
1,by,prep./adv.,經過
1,cake,n.,蛋糕
